都道府県,とどうふけん,県庁所在地,けんちょうしょざいち,人口,面積,人口密度
北海道,ほっかいどう,札幌市,さっぽろし,"5,181,776 ","83,424.41 ",66.08 
青森県,あおもりけん,青森市,あおもりし,"1,221,288 ","9,645.62 ",126.62 
岩手県,いわてけん,盛岡市,もりおかし,"1,196,277 ","15,275.01 ",78.32 
宮城県,みやぎけん,仙台市,せんだいし,"2,290,036 ","7,282.29 ",314.47 
秋田県,あきたけん,秋田市,あきたし,"944,902 ","11,637.52 ",81.19 
山形県,やまがたけん,山形市,やまがたし,"1,054,729 ","9,323.13 ",113.13 
福島県,ふくしまけん,福島市,ふくしまし,"1,812,190 ","13,784.14 ",131.47 
茨城県,いばらきけん,水戸市,みとし,"2,852,105 ","6,097.24 ",467.77 
栃木県,とちぎけん,宇都宮市,うつのみやし,"1,921,575 ","6,408.09 ",299.87 
群馬県,ぐんまけん,前橋市,まえばしし,"1,926,325 ","6,362.28 ",302.77 
埼玉県,さいたまけん,さいたま市,さいたまし,"7,340,945 ","3,797.75 ","1,932.97 "
千葉県,ちばけん,千葉市,ちばし,"6,280,561 ","5,157.31 ","1,217.80 "
東京都,とうきょうと,新宿区,しんじゅくく,"14,011,487 ","2,194.05 ","6,386.13 "
神奈川県,かながわけん,横浜市,よこはまし,"9,236,428 ","2,416.11 ","3,822.85 "
新潟県,にいがたけん,新潟市,にいがたし,"2,176,879 ","12,583.95 ",172.99 
富山県,とやまけん,富山市,とやまし,"1,025,409 ","4,247.54 ",241.41 
石川県,いしかわけん,金沢市,かなざわし,"1,125,146 ","4,186.20 ",268.78 
福井県,ふくいけん,福井市,ふくいし,"760,209 ","4,190.52 ",181.41 
山梨県,やまなしけん,甲府市,こうふし,"805,338 ","4,465.27 ",180.36 
長野県,ながのけん,長野市,ながのし,"2,033,181 ","13,561.56 ",149.92 
岐阜県,ぎふけん,岐阜市,ぎふし,"1,960,461 ","10,621.29 ",184.58 
静岡県,しずおかけん,静岡市,しずおかし,"3,606,480 ","7,777.28 ",463.72 
愛知県,あいちけん,名古屋市,なごやし,"7,516,008 ","5,173.15 ","1,452.89 "
三重県,みえけん,津市,つし,"1,755,415 ","5,774.47 ",304.00 
滋賀県,しがけん,大津市,おおつし,"1,410,352 ","4,017.38 ",351.06 
京都府,きょうとふ,京都市,きょうとし,"2,561,358 ","4,612.20 ",555.34 
大阪府,おおさかふ,大阪市,おおさかし,"8,807,279 ","1,905.34 ","4,622.42 "
兵庫県,ひょうごけん,神戸市,こうべし,"5,432,560 ","8,400.94 ",646.66 
奈良県,ならけん,奈良市,ならし,"1,315,350 ","3,690.94 ",356.37 
和歌山県,わかやまけん,和歌山市,わかやまし,"913,523 ","4,724.68 ",193.35 
鳥取県,とっとりけん,鳥取市,とっとりし,"548,562 ","3,507.14 ",156.41 
島根県,しまねけん,松江市,まつえし,"664,807 ","6,707.90 ",99.11 
岡山県,おかやまけん,岡山市,おかやまし,"1,875,759 ","7,114.33 ",263.66 
広島県,ひろしまけん,広島市,ひろしまし,"2,779,314 ","8,479.22 ",327.78 
山口県,やまぐちけん,山口市,やまぐちし,"1,327,452 ","6,112.55 ",217.17 
徳島県,とくしまけん,徳島市,とくしまし,"711,843 ","4,146.99 ",171.65 
香川県,かがわけん,高松市,たかまつし,"942,035 ","1,876.92 ",501.90 
愛媛県,えひめけん,松山市,まつやまし,"1,320,782 ","5,676.12 ",232.69 
高知県,こうちけん,高知市,こうちし,"684,049 ","7,103.60 ",96.30 
福岡県,ふくおかけん,福岡市,ふくおかし,"5,123,371 ","4,986.86 ","1,027.37 "
佐賀県,さがけん,佐賀市,さがし,"805,721 ","2,440.67 ",330.12 
長崎県,ながさきけん,長崎市,ながさきし,"1,296,657 ","4,130.98 ",313.89 
熊本県,くまもとけん,熊本市,くまもとし,"1,727,902 ","7,409.39 ",233.20 
大分県,おおいたけん,大分市,おおいたし,"1,113,749 ","6,340.70 ",175.65 
宮崎県,みやざきけん,宮崎市,みやざきし,"1,060,958 ","7,735.00 ",137.16 
鹿児島県,かごしまけん,鹿児島市,かごしまし,"1,576,074 ","9,186.42 ",171.57 
沖縄県,おきなわけん,那覇市,なはし,"1,468,526 ","2,282.15 ",643.48 
